Carbon Price (RMB/tCO2),Beijing STES Capacity (MWh),Wuhan STES Capacity (MWh),Urumqi STES Capacity (MWh)
100,1020.8802037884583,424.9526221171439,1086.598513199474
200,474.5486558263133,285.9395939182836,344.8456003095575
300,333.3666932110877,417.7139299540906,293.12914690535837
400,240.85578023741,455.0420625035697,321.3574890106667
500,130.8861429855321,198.990061362152,357.78686126947537
600,308.9943333783998,154.55106746916329,211.11905818599843
